time,wx (rad/s),wy (rad/s),wz (rad/s)
0.822981,-1.37,-4.63,1.52
0.823458,-1.34,-4.68,1.53
0.823938,-1.30,-4.72,1.53
0.826195,-1.26,-4.73,1.53
0.837502,-1.22,-4.71,1.53
0.838634,-1.18,-4.67,1.54
0.839277,-1.13,-4.61,1.56
0.839827,-1.08,-4.54,1.58
0.840255,-1.03,-4.47,1.61
0.840875,-0.98,-4.38,1.64
0.852773,-0.94,-4.31,1.69
0.853881,-0.91,-4.22,1.74
0.854510,-0.88,-4.13,1.81
0.855109,-0.86,-4.04,1.88
0.855811,-0.85,-3.93,1.97
0.856416,-0.85,-3.80,2.06
0.858620,-0.87,-3.66,2.16
0.869344,-0.88,-3.51,2.26
0.870549,-0.89,-3.34,2.37
0.871207,-0.91,-3.17,2.48
0.871738,-0.93,-2.99,2.59
0.872349,-0.96,-2.81,2.70
0.873116,-0.99,-2.64,2.81
0.875488,-1.02,-2.48,2.92
0.886354,-1.05,-2.33,3.02
0.887330,-1.09,-2.19,3.12
0.888048,-1.12,-2.08,3.22
0.888670,-1.16,-1.98,3.31
0.889177,-1.19,-1.90,3.38
0.890341,-1.22,-1.83,3.45
0.892834,-1.24,-1.79,3.51
0.903941,-1.25,-1.74,3.56
0.905171,-1.26,-1.70,3.60
0.906036,-1.26,-1.66,3.63
0.906538,-1.25,-1.62,3.65
0.906908,-1.23,-1.60,3.66
0.908194,-1.20,-1.58,3.67
0.918936,-1.16,-1.57,3.66
0.919590,-1.11,-1.57,3.64
0.920024,-1.05,-1.58,3.62
0.920362,-0.98,-1.59,3.58
0.920689,-0.91,-1.61,3.54
0.922306,-0.83,-1.64,3.50
0.925055,-0.76,-1.69,3.46
0.938361,-0.70,-1.77,3.41
0.939713,-0.64,-1.88,3.38
0.940153,-0.59,-2.03,3.36
0.940784,-0.55,-2.19,3.35
0.941452,-0.52,-2.36,3.35
0.941976,-0.48,-2.52,3.35
0.942275,-0.46,-2.65,3.36
0.951887,-0.44,-2.76,3.37
0.952772,-0.41,-2.82,3.37
0.953094,-0.40,-2.86,3.38
0.953497,-0.38,-2.88,3.39
0.954716,-0.37,-2.87,3.40
0.957195,-0.35,-2.86,3.42
0.959568,-0.34,-2.85,3.44
0.969871,-0.34,-2.83,3.46
0.971269,-0.33,-2.80,3.49
0.971949,-0.32,-2.78,3.51
0.972554,-0.32,-2.76,3.54
0.972970,-0.31,-2.75,3.57
0.975806,-0.31,-2.74,3.60
0.976999,-0.30,-2.73,3.63
0.986991,-0.28,-2.72,3.64
0.988061,-0.25,-2.69,3.64
0.988859,-0.21,-2.63,3.63
0.989281,-0.16,-2.56,3.61
0.990053,-0.09,-2.48,3.58
0.991837,-0.02,-2.38,3.54
1.002420,0.05,-2.28,3.49
1.003326,0.14,-2.18,3.45
1.004085,0.22,-2.07,3.40
1.004741,0.30,-1.96,3.35
1.005232,0.37,-1.84,3.29
1.006955,0.44,-1.71,3.24
1.008874,0.50,-1.59,3.20
1.024817,0.55,-1.45,3.15
1.025868,0.60,-1.30,3.11
1.026463,0.63,-1.15,3.07
1.026942,0.66,-0.98,3.04
1.027405,0.68,-0.80,3.00
1.027860,0.70,-0.62,2.96
1.028317,0.70,-0.43,2.92
1.028675,0.70,-0.25,2.88
1.042822,0.70,-0.07,2.84
1.043823,0.70,0.11,2.80
1.044397,0.70,0.29,2.76
1.044943,0.70,0.45,2.72
1.045483,0.70,0.62,2.67
