time,wx (rad/s),wy (rad/s),wz (rad/s)
1.036911,0.04,-0.01,-0.02
1.038166,0.04,-0.01,-0.02
1.038595,0.04,-0.01,-0.02
1.039523,0.04,-0.01,-0.02
1.042219,0.04,-0.01,-0.01
1.044363,0.04,-0.01,-0.01
1.049609,0.03,-0.01,-0.01
1.050202,0.03,-0.01,-0.01
1.051909,0.03,-0.02,-0.00
1.055216,0.03,-0.02,0.00
1.056856,0.02,-0.02,0.00
1.059167,0.02,-0.02,0.00
1.062003,0.02,-0.03,0.01
1.066182,0.02,-0.02,0.01
1.067335,0.01,-0.02,0.01
1.069087,0.01,-0.02,0.02
1.071547,0.01,-0.02,0.02
1.074441,0.01,-0.02,0.02
1.076446,0.01,-0.03,0.03
1.079402,0.01,-0.03,0.03
1.083049,0.00,-0.03,0.03
1.083946,0.00,-0.04,0.02
1.087096,0.00,-0.04,0.03
1.088925,-0.00,-0.04,0.03
1.091406,-0.00,-0.05,0.03
1.093717,-0.00,-0.05,0.02
1.096198,-0.00,-0.05,0.02
1.100251,-0.01,-0.05,0.02
1.102088,-0.01,-0.05,0.02
1.104101,-0.01,-0.05,0.02
1.106930,-0.01,-0.05,0.01
1.108660,-0.01,-0.04,0.01
1.111073,-0.01,-0.04,0.01
1.113749,-0.01,-0.04,0.00
1.123132,-0.01,-0.03,0.00
1.123636,-0.01,-0.02,-0.00
1.124022,-0.01,-0.02,-0.00
1.124379,-0.01,-0.02,-0.01
1.127451,-0.02,-0.01,-0.01
1.128993,-0.02,-0.01,-0.01
1.135808,-0.01,-0.01,-0.01
1.136520,-0.02,-0.01,-0.02
1.136886,-0.02,-0.01,-0.02
1.138343,-0.02,-0.02,-0.02
1.140737,-0.02,-0.01,-0.02
1.143048,-0.02,-0.02,-0.02
1.146180,-0.02,-0.02,-0.03
1.148609,-0.02,-0.02,-0.03
1.150594,-0.02,-0.02,-0.03
1.152987,-0.02,-0.02,-0.03
1.155512,-0.02,-0.02,-0.03
1.157961,-0.02,-0.01,-0.03
1.160231,-0.02,-0.01,-0.03
1.162841,-0.02,-0.01,-0.03
1.165703,-0.02,-0.01,-0.03
1.167729,-0.02,-0.00,-0.03
1.170370,-0.01,-0.00,-0.04
1.172692,-0.01,-0.00,-0.04
1.175082,-0.01,-0.00,-0.04
1.177573,-0.01,-0.00,-0.04
1.181397,-0.01,-0.00,-0.04
1.182702,-0.01,-0.00,-0.04
1.185590,-0.01,-0.00,-0.04
1.187905,-0.00,-0.00,-0.03
1.190168,-0.00,0.00,-0.03
1.192377,-0.00,-0.00,-0.03
1.194791,0.00,0.00,-0.02
1.198246,0.00,0.00,-0.02
1.199978,0.01,0.00,-0.02
1.202328,0.01,-0.00,-0.01
1.205228,0.01,0.00,-0.01
1.207337,0.01,0.00,-0.01
1.210178,0.01,-0.00,-0.01
1.212296,0.01,-0.00,-0.01
1.220884,0.01,-0.00,-0.01
1.222750,0.01,-0.00,-0.01
1.223254,0.01,-0.01,-0.00
1.223688,0.01,-0.00,-0.01
1.225228,0.01,-0.01,-0.01
1.227152,0.01,-0.00,-0.01
1.229770,0.01,-0.00,-0.01
1.234556,0.01,-0.00,-0.01
1.235128,0.00,-0.00,-0.01
1.237078,0.01,0.00,-0.01
1.239455,0.00,0.00,-0.01
1.241739,0.00,-0.00,-0.01
1.244616,-0.00,-0.01,-0.01
1.248533,-0.00,-0.01,-0.01
1.249409,-0.01,-0.02,-0.01
1.251728,-0.01,-0.02,-0.01
1.254666,-0.01,-0.03,-0.01
1.256810,-0.01,-0.03,-0.01
1.259251,-0.02,-0.04,-0.01
1.261967,-0.02,-0.04,-0.01
1.265420,-0.02,-0.04,-0.01
1.266808,-0.02,-0.04,-0.01
1.269100,-0.02,-0.04,-0.01
1.271883,-0.03,-0.03,-0.01
1.274342,-0.03,-0.03,-0.00
1.276524,-0.03,-0.02,-0.01
1.278886,-0.03,-0.02,-0.01
1.281662,-0.03,-0.01,-0.00
1.284286,-0.03,-0.01,0.00
1.286547,-0.03,-0.00,-0.00
1.288876,-0.03,-0.00,-0.00
1.291268,-0.04,-0.00,-0.00
1.293713,-0.04,-0.00,0.00
1.299584,-0.04,-0.00,0.00
1.300079,-0.04,-0.01,0.00
1.301400,-0.04,-0.01,0.00
1.304310,-0.04,-0.01,0.00
1.306492,-0.03,-0.01,0.00
1.308692,-0.03,-0.01,-0.00
1.311757,-0.03,-0.01,-0.00
1.322570,-0.03,-0.01,-0.00
1.323127,-0.03,-0.01,-0.01
1.323512,-0.03,-0.01,-0.01
1.323870,-0.03,-0.01,-0.01
1.324252,-0.03,-0.01,-0.02
1.326354,-0.03,-0.01,-0.02
1.328924,-0.03,-0.01,-0.02
1.335211,-0.02,-0.00,-0.03
1.335848,-0.02,0.00,-0.03
1.336325,-0.02,0.00,-0.03
1.338494,-0.02,-0.00,-0.03
1.340940,-0.02,-0.00,-0.03
1.343402,-0.02,-0.00,-0.03
1.345802,-0.02,-0.00,-0.03
1.349638,-0.02,-0.00,-0.02
1.350886,-0.02,-0.00,-0.02
1.353489,-0.02,-0.00,-0.02
1.355579,-0.02,-0.00,-0.02
1.358030,-0.02,-0.00,-0.01
1.360341,-0.02,-0.01,-0.01
1.365058,-0.02,-0.01,-0.01
1.365609,-0.02,-0.01,-0.00
1.367965,-0.01,-0.01,0.00
1.370485,-0.01,-0.02,0.00
1.372790,-0.01,-0.01,0.00
1.375770,-0.01,-0.01,0.00
1.377733,-0.01,-0.02,0.01
1.382459,-0.01,-0.02,0.01
1.383252,-0.01,-0.02,0.01
1.385823,-0.01,-0.01,0.01
